id,titulo,anio
1,Shazam,2019,Accion
1,Shazam,2019,Aventura
2,Parque magico,2019,Animacion
2,Parque magico,2019,Aventura
3,Dumbo,2019,Aventura
3,Dumbo,2019,Familiar
3,Dumbo,2019,Fantasia
4,Capitana Marvel,2019,Accion
4,Capitana Marvel,2019,Aventura
4,Capitana Marvel,2019,Ciencia ficcion
5,Como entrenar a tu dragon 3,2019,Animacion
5,Como entrenar a tu dragon 3,2019,Accion
5,Como entrenar a tu dragon 3,2019,Aventura
6,La gran aventura Lego 2,2019,Animacion
6,La gran aventura Lego 2,2019,Accion
6,La gran aventura Lego 2,2019,Aventura
7,Bumblebee,2018,Accion
7,Bumblebee,2018,Aventura
7,Bumblebee,2018,Ciencia ficcion
8,Aquaman,2018,Accion
8,Aquaman,2018,Aventura
8,Aquaman,2018,Fantasia
9,El regreso de Mary Poppins,2018,Comedia
9,El regreso de Mary Poppins,2018,Familiar
9,El regreso de Mary Poppins,2018,Fantasia
10,Spider-Man - Un nuevo universo,2018,Animacion
10,Spider-Man - Un nuevo universo,2018,Accion
10,Spider-Man - Un nuevo universo,2018,Aventura
1,Shazam,2019,Comedia
11,Animales Fantasticos - Los crímenes de Grindelwald,2018,Aventura
11,Animales Fantasticos - Los crímenes de Grindelwald,2018,Familiar
11,Animales Fantasticos - Los crímenes de Grindelwald,2018,Fantasia
12,Wifi Ralph,2018,Animacion
12,Wifi Ralph,2018,Aventura
12,Wifi Ralph,2018,Comedia
13,El Grinch 2,2018,Animacion
13,El Grinch 2,2018,Comedia
13,El Grinch 2,2018,Infantil
14,El cascanueces y los cuatro reinos,2018,Aventura
14,El cascanueces y los cuatro reinos,2018,Infantil
14,El cascanueces y los cuatro reinos,2018,Fantasia
15,La casa con un reloj en sus paredes,2018,Comedia
15,La casa con un reloj en sus paredes,2018,Infantil
15,La casa con un reloj en sus paredes,2018,Fantasia
16,Mowgli - Relatos del libro de la selva,2018,Aventura
16,Mowgli - Relatos del libro de la selva,2018,Drama
17,Venom,2018,Accion
17,Venom,2018,Ciencia ficcion
18,Pie Pequeño,2018,Animacion
18,Pie Pequeño,2018,Aventura
18,Pie Pequeño,2018,Comedia
19,Las cronicas de Navidad,2018,Aventura
19,Las cronicas de Navidad,2018,Comedia
19,Las cronicas de Navidad,2018,Infantil
20,Los Increibles 2,2018,Animacion
20,Los Increibles 2,2018,Accion
20,Los Increibles 2,2018,Aventura
2,Parque magico,2019,Comedia
21,Jovenes Titanes en accion - La película,2018,Animacion
21,Jovenes Titanes en accion - La película,2018,Accion
21,Jovenes Titanes en accion - La película,2018,Comedia
22,Christopher Robin - Un reencuentro inolvidable,2018,Animacion
22,Christopher Robin - Un reencuentro inolvidable,2018,Aventura
22,Christopher Robin - Un reencuentro inolvidable,2018,Comedia
23,Ant-Man and the Wasp,2018,Accion
23,Ant-Man and the Wasp,2018,Aventura
23,Ant-Man and the Wasp,2018,Ciencia ficcion
24,Hotel Transylvania 3 - Monstruos de vacaciones,2018,Animacion
24,Hotel Transylvania 3 - Monstruos de vacaciones,2018,Aventura
24,Hotel Transylvania 3 - Monstruos de vacaciones,2018,Comedia
25,Han Solo - Una historia de Star Wars,2018,Accion
25,Han Solo - Una historia de Star Wars,2018,Aventura
25,Han Solo - Una historia de Star Wars,2018,Fantasia
26,Jurassic World - El reino caido,2018,Accion
26,Jurassic World - El reino caido,2018,Aventura
26,Jurassic World - El reino caido,2018,Ciencia ficcion
27,Mazinger Z - Infinity,2017,Animacion
27,Mazinger Z - Infinity,2017,Accion
27,Mazinger Z - Infinity,2017,Ciencia ficcion
28,Deadpool 2,2018,Accion
28,Deadpool 2,2018,Aventura
28,Deadpool 2,2018,Comedia
29,Avengers - Infinity War,2018,Accion
29,Avengers - Infinity War,2018,Aventura
29,Avengers - Infinity War,2018,Fantasia
30,Sherlock Gnomes,2018,Animacion
30,Sherlock Gnomes,2018,Aventura
30,Sherlock Gnomes,2018,Comedia
